id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
992452322323255297,https://twitter.com/thedavepepper/status/992452322323255297,Fri May 04 17:14:07 +0000 2018,2018-05-04 17:14:07+00:00,thedavepepper,Ice House #oldtown #alexandria #va #iphonephotography #shotoniphone #acreativedc #igdc #exposeddc #streetphotography #photography  #moodygrams #createexplore #instagood #thevisualscollective #positivevibes #leagueoflenses #theimaged #visualsofearth  #roa… https://t.co/hCGvQx61f1 https://t.co/MfBA149OjG,original,,oldtown alexandria va iphonephotography shotoniphone acreativedc igdc exposeddc streetphotography photography moodygrams createexplore instagood thevisualscollective positivevibes leagueoflenses theimaged visualsofearth roa,https://twitter.com/thedavepepper/status/992452322323255297/photo/1,https://ift.tt/2FGjLpf,2,,,,en,,FALSE,0,,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",15832032,Wed Aug 13 02:56:08 +0000 2008,FALSE,Say what you mean. Be loud. Social Media to achieve goals.,11910,8029,4368,1489,"Washington, DC",David Pepper,38628,Eastern Time (US & Canada),http://pepper-productions.com,FALSE
992386599810936832,https://twitter.com/BrendaRuns/status/992386599810936832,Fri May 04 12:52:57 +0000 2018,2018-05-04 12:52:57+00:00,BrendaRuns,@Nov_Project_DCA @Nov_Project @DCDPR @MyFitDC @ActiveLifeDC @aCreativeDC woo hoo #TGIF #novemberproject,reply,,TGIF novemberproject,,,2,Nov_Project_DCA,992386319560200192,1347114337,en,,,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",221234625,Tue Nov 30 02:59:46 +0000 2010,FALSE,"112x 26.2, 38x 50k, 28x 50M, 4x 100k, 100m, runner, cycling, hiking, yoga, and love to travel. #BibRavePro #pearlizumi #ambador",63022,2051,1126,133,"Boston, MA",BrendaRuns,21303,Eastern Time (US & Canada),http://brendruns.tumblr.com,FALSE
9.92383E+17,https://twitter.com/LocLov/status/992383318099456000,Fri May 04 12:39:55 +0000 2018,2018-05-04 12:39:55+00:00,LocLov,"Flashback to parties 🎉🕺💃🏾😂🍾on our patio. We look forward to a new season.
📸: @kelbpics --
.
.
.
.
.
#dcevents #dmvevents #dcsalon #dcbarbers  #acreativedc #culture #community #branding #smallbusiness... https://t.co/RUUMtFS0WR",original,,dcevents dmvevents dcsalon dcbarbers acreativedc culture community branding smallbusiness,,https://www.facebook.com/LocLovStyles/posts/1890163624361862,0,,,,en,,FALSE,0,,,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",148238191,Wed May 26 05:38:00 +0000 2010,FALSE,The Standard is Set! Loc Lov specializes in loc'd hair. We're on our way to creating a natural hair empire! Follow on Instagram @ loclovstyles. #LocLovDC,7,373,107,14,Washington DC,Loc Lov Styles,7917,,http://www.loclov.com,FALSE
992377433075707904,https://twitter.com/WomenEmpowerx/status/992377433075707904,Fri May 04 12:16:32 +0000 2018,2018-05-04 12:16:32+00:00,WomenEmpowerx,"A friendly reminder from our Keynote Speaker, @cleowade
_
Get your ticket to see her at WEXDC!
https://t.co/fkRVGAhfLa
_
.
.
.
#wex#wexdc#igdc#acreativedc#washingtondc#dc#womentowatch#poetry#author#writer#keynote#keynotespeaker#success#reminder#friday#f… https://t.co/Y5RhprMKdt https://t.co/swASxzHbb5",original,,,https://twitter.com/WomenEmpowerx/status/992377433075707904/photo/1,http://bit.ly/wexdc18 https://ift.tt/2JUGX5H,2,,,,en,,FALSE,0,,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",705159347215720448,Wed Mar 02 22:34:24 +0000 2016,FALSE,"Largest event for Female Entrepreneurs & Change Leaders. Attend a WEX Experience: DC- May 26, 2018 // Ft. Lauderdale- Nov 10, 2018",1318,1111,1557,48,"Florida, USA",WomenEmpowerExpo,2822,,http://womenempowerx.com/washingtondc,FALSE
992367653191897088,https://twitter.com/FFW_Movie/status/992367653191897088,Fri May 04 11:37:40 +0000 2018,2018-05-04 11:37:40+00:00,FFW_Movie,Thank you @realchingobling for the repost! // #FarewellFerrisWheel #NETFLIX #FFW  #iTVS #LPB #FirelightMedia #PBS #LatinoPublicBroadcasting #acreativedc #igDC #Documentary #filmmakin https://t.co/p2BpJNd0Nw https://t.co/a6k056DnZg,original,,FarewellFerrisWheel NETFLIX FFW iTVS LPB FirelightMedia PBS LatinoPublicBroadcasting acreativedc igDC Documentary filmmakin,https://twitter.com/FFW_Movie/status/992367653191897088/photo/1,https://ift.tt/2IdNLxW,1,,,,en,,FALSE,0,,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",2826605035,Mon Sep 22 15:43:27 +0000 2014,FALSE,"Now on Netflix, Farewell Ferris Wheel explores how the U.S. Carnival industry keeps itself alive by bringing in Mexican labor with a controversial work visa.",87,43,38,1,,FarewellFerrisWheel,138,,http://www.farewellferriswheel.com,FALSE
992366218454667264,https://twitter.com/TheMiGmartinez/status/992366218454667264,Fri May 04 11:31:58 +0000 2018,2018-05-04 11:31:58+00:00,TheMiGmartinez,CQ x El Dusty x Shortkut x Cut Chemist x M.i.G. // #AnotherMiGportrait #HowIviewTheWorldAroundMe #WeAmericasGhostRiders #Immigrants #WeGetTheJobDone #WashingtonDC #TheMiGmartinez #CañeMex #aCreativeDC #igDC #ElDusty #Shortkut #CutChemist https://t.co/q2Dw2QMxdr https://t.co/RdVpFgBpKI,original,,AnotherMiGportrait HowIviewTheWorldAroundMe WeAmericasGhostRiders Immigrants WeGetTheJobDone WashingtonDC TheMiGmartinez CañeMex aCreativeDC igDC ElDusty Shortkut CutChemist,https://twitter.com/TheMiGmartinez/status/992366218454667264/photo/1,https://ift.tt/2jxfM5T,3,,,,nl,,FALSE,0,,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",1072539925,Wed Jan 09 01:36:23 +0000 2013,FALSE,"My film ""Farewell Ferris Wheel"" streaming on Netflix. // Official photographer of two Legendary Grammy-winning groups ORISHAS & OZOMATLI.",515,183,98,16,"Washington, DC",Miguel MiG Martinez,4934,Eastern Time (US & Canada),http://www.migmartinez.com,FALSE
992357100893495301,https://twitter.com/TheFaceSpotter/status/992357100893495301,Fri May 04 10:55:44 +0000 2018,2018-05-04 10:55:44+00:00,TheFaceSpotter,"𝗪𝗘𝗘𝘬𝘦𝘯𝘥 ! 😀👍
https://t.co/ADtVRpI4vL
#pareidolia #playground #tgif #acreativedc https://t.co/maPK2PWSKI",original,,pareidolia playground tgif acreativedc,https://twitter.com/TheFaceSpotter/status/992357100893495301/photo/1,http://TheFaceSpotter.com,4,,,,en,,FALSE,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",763369821241274368,Wed Aug 10 13:42:02 +0000 2016,FALSE,Face Your Day! https://t.co/H9aEuij1AM,728,131,152,7,"Virginia, USA",The Face Spotter,1039,,http://society6.com/thefacespotter,FALSE
992229828958015488,https://twitter.com/justbartender/status/992229828958015488,Fri May 04 02:30:00 +0000 2018,2018-05-04 02:30:00+00:00,justbartender,"Get with the Now.
#igdc #acreativedc #exposeddc #mydccool #flowers #nature… https://t.co/JOX4jQspQM",original,-77.021840 38.899770,igdc acreativedc exposeddc mydccool flowers nature,,https://www.instagram.com/p/BiVrvRNlVDe/?utm_source=twitter,1,,,,en,"Washington, DC",FALSE,0,,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",415357776,Fri Nov 18 07:08:09 +0000 2011,FALSE,Everything is total bullshit.,1096,646,2024,25,On the Path,justbartender,7785,,http://www.facebook.com/justbartender,FALSE
992218928855289856,https://twitter.com/AnndyYdnas/status/992218928855289856,Fri May 04 01:46:41 +0000 2018,2018-05-04 01:46:41+00:00,AnndyYdnas,"So that you do not lose my content,I invite you to follow me on my Instagram account.🙀Run to see my new post👉 #Followme https://t.co/EaHvOfzx3g
#MyDCcool #washington_ig #washingtondaily #washingtonphotographer #artofvisuals #twittergood #postthepeople #acreativedc #exploredc",original,,Followme MyDCcool washington_ig washingtondaily washingtonphotographer artofvisuals twittergood postthepeople acreativedc exploredc,,https://www.instagram.com/p/Bg4pxPWHtGJ/?taken-by=s_anndyv,1,,,,en,,FALSE,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1259803891,Mon Mar 11 16:00:08 +0000 2013,FALSE,Comunicóloga|Actress|Singer|#Travel|#Fashion|#Photography| #Gaming|#Cinephile| I❤️the🐶| #DisneyFan|#NintendoFan| #Lifestyle|#Nerd|Collab whit me 💌 MD.,36030,9646,6860,33,United States,∕̴Ɩии∂у V,13825,Central Time (US & Canada),https://www.instagram.com/s_anndyv/,FALSE
992207446457438208,https://twitter.com/videoarch/status/992207446457438208,Fri May 04 01:01:04 +0000 2018,2018-05-04 01:01:04+00:00,videoarch,"Timelapse frame grab from Dulles Airport sequence.  #timelapse #architecture #architecturelovers #streetphotografy #streetphotografy_bw #architecturephotography
#architecturalphotography #DC  #art #urbanandstreet #igdc #MyDCcool #acreativedc #StreetMeetD… https://t.co/5OP4zxAbWt https://t.co/RwgP2yJWoE",original,,timelapse architecture architecturelovers streetphotografy streetphotografy_bw architecturephotography architecturalphotography DC art urbanandstreet igdc MyDCcool acreativedc StreetMeetD,https://twitter.com/videoarch/status/992207446457438208/photo/1,https://ift.tt/2rkPSWa,1,,,,en,,FALSE,0,,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",1855720182,Wed Sep 11 23:50:35 +0000 2013,FALSE,"#VideoMarketing of Interiors, Architecture & People using Drones,  Motion VR 360 Video, Timelapse,  Interviews  & GoPros galore. Storytelling a·fi·ci·o·na·do.",390,207,210,41,Washington DC & Phoenix AZ,Mark DelSasso,1449,,http://about.me/mark_delsasso,FALSE
